127.0.0.1 - - [21/Oct/2019:09:43:07 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Oct/2019:09:43:09 +0900] "GET /1021/chap06/test1.html HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [21/Oct/2019:09:43:09 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Oct/2019:09:43:44 +0900] "GET /1021/chap06/test1.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [21/Oct/2019:09:48:37 +0900] "GET /1021/chap06/test1.html HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [21/Oct/2019:09:48:38 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Oct/2019:10:04:18 +0900] "GET /1021/chap07/test2.html HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [21/Oct/2019:10:13:31 +0900] "GET /1021/chap07/test4.html HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [21/Oct/2019:10:13:32 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Oct/2019:10:15:58 +0900] "GET /1021/chap07/test4.html HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [21/Oct/2019:10:15:58 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Oct/2019:10:16:19 +0900] "GET /1021/chap07/test4.html HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [21/Oct/2019:10:16:35 +0900] "GET /1021/chap07/test4.html HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [21/Oct/2019:10:18:30 +0900] "GET /1021/chap07/test4.html HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [21/Oct/2019:10:21:54 +0900] "GET /1021/chap07/test4.html HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [21/Oct/2019:10:22:25 +0900] "GET /1021/chap07/test4.html HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [21/Oct/2019:10:23:03 +0900] "GET /1021/chap07/test4.html HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:03:00 +0900] "GET /1021/chap07/test8.html HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:03:03 +0900] "GET /1021/chap07/test8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:03:03 +0900] "GET /1021/chap07/test8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:03:04 +0900] "GET /1021/chap07/test8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:10:03 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:10:03 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:11:33 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 200 1878
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:12:28 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:13:01 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 200 1910
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:13:51 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 200 1969
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:13:59 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 200 1961
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:14:48 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:15:24 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:16:21 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:17:59 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 200 2076
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:18:00 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:18:26 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:18:27 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:18:27 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:18:27 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:18:33 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:18:34 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:18:34 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:18:34 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:20:41 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [21/Oct/2019:11:21:21 +0900] "GET /1021/chap07/test10.html HTTP/1.1" 200 2116
