127.0.0.1 - - [04/Nov/2019:09:39:00 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:39:02 +0900] "GET /1104/test1.html HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:39:03 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:43:08 +0900] "GET /1104/test2.html HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:43:08 +0900] "GET /1104/images/beach.png HTTP/1.1" 200 44810
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:44:24 +0900] "GET /1104/test2.html HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:44:24 +0900] "GET /1104/images/beach.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:45:07 +0900] "GET /1104/test2.html HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:45:07 +0900] "GET /1104/images/beach.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:47:44 +0900] "GET /1104/test2.html HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:47:44 +0900] "GET /1104/images/beach.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:48:56 +0900] "GET /1104/test2.html HTTP/1.1" 200 1389
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:48:56 +0900] "GET /1104/images/beach.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:49:11 +0900] "GET /1104/test2.html HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:49:13 +0900] "GET /1104/test2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:56:04 +0900] "GET /1104/test3.html HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:56:04 +0900] "GET /1104/images/apple.png HTTP/1.1" 200 443954
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:56:06 +0900] "GET /1104/images/banana.png HTTP/1.1" 200 25843
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:56:08 +0900] "GET /1104/images/mango.png HTTP/1.1" 200 544948
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:56:50 +0900] "GET /1104/images/banana.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:09:56:52 +0900] "GET /1104/images/apple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:03:13 +0900] "GET /1104/test3.html HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:03:13 +0900] "GET /1104/images/apple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:03:15 +0900] "GET /1104/images/mango.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:03:32 +0900] "GET /1104/test3.html HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:03:35 +0900] "GET /1104/images/banana.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:04:05 +0900] "GET /1104/test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:04:05 +0900] "GET /1104/images/apple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:04:06 +0900] "GET /1104/test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:04:06 +0900] "GET /1104/test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:05:11 +0900] "GET /1104/test3.html HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:05:11 +0900] "GET /1104/images/apple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:05:11 +0900] "GET /1104/test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:05:12 +0900] "GET /1104/test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:06:11 +0900] "GET /1104/test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:06:11 +0900] "GET /1104/test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:06:11 +0900] "GET /1104/test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:06:20 +0900] "GET /1104/test3.html HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:06:20 +0900] "GET /1104/images/apple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:06:22 +0900] "GET /1104/images/banana.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2019:10:06:22 +0900] "GET /1104/images/mango.png HTTP/1.1" 304 -
